image,resolution,version,mean_ms,median_ms,min_ms,max_ms,std_ms,speedup_vs_manual,fps
agriculture1.jpg,640x480,manual,1.4764,1.4633,1.4577,1.5501,0.025089,1,677.322
agriculture1.jpg,640x480,opencv,2.01347,1.9915,1.8741,2.2741,0.071699,0.733263,496.655
agriculture2.jpg,640x480,manual,1.55537,1.47425,1.4483,2.1167,0.161144,1,642.935
agriculture2.jpg,640x480,opencv,1.88462,1.8699,1.8101,2.0192,0.0588516,0.825295,530.611
agriculture3.jpg,640x480,manual,1.65097,1.6018,1.4641,2.4027,0.153266,1,605.706
agriculture3.jpg,640x480,opencv,1.9968,1.99945,1.909,2.0787,0.0380386,0.826805,500.8
automobile1.jpg,640x480,manual,1.69884,1.7016,1.4625,1.8585,0.071849,1,588.637
automobile1.jpg,640x480,opencv,2.04961,2.0254,1.8836,2.5646,0.117889,0.828861,487.898
automobile2.jpeg,640x480,manual,1.6776,1.6843,1.5082,1.8995,0.0750738,1,596.09
automobile2.jpeg,640x480,opencv,2.09123,2.0909,1.9176,2.1704,0.047556,0.802207,478.187
automobile3.jpg,640x480,manual,1.65819,1.67525,1.463,1.8143,0.0635349,1,603.068
automobile3.jpg,640x480,opencv,2.18193,2.083,1.9679,3.3028,0.265541,0.759963,458.31
detail1.jpg,640x480,manual,1.67111,1.6823,1.4926,1.9077,0.0781166,1,598.403
detail1.jpg,640x480,opencv,2.03349,2.0094,1.9336,2.2772,0.0826811,0.821796,491.765
detail2.jpg,640x480,manual,1.62497,1.61135,1.4797,1.7123,0.0431554,1,615.395
detail2.jpg,640x480,opencv,1.87089,1.86045,1.7879,2.0211,0.061204,0.868558,534.506
detail3.jpg,640x480,manual,1.58352,1.4915,1.4642,2.1667,0.180939,1,631.503
detail3.jpg,640x480,opencv,1.84645,1.83355,1.7781,2.0512,0.0578551,0.857606,541.581
