image,resolution,version,mean_ms,median_ms,min_ms,max_ms,std_ms,speedup_vs_manual_opt,fps
agriculture1.jpg,640x480,manual_opt,0.43891,0.42505,0.4174,0.5494,0.0324313,1,2278.37
agriculture1.jpg,640x480,opencv_opt,0.560867,0.54265,0.5073,0.723,0.0449161,0.782557,1782.95
agriculture2.jpg,640x480,manual_opt,0.516863,0.4993,0.4167,0.8811,0.0885524,1,1934.75
agriculture2.jpg,640x480,opencv_opt,0.53525,0.53005,0.5073,0.5943,0.0188446,0.965648,1868.29
agriculture3.jpg,640x480,manual_opt,0.48578,0.47185,0.4152,0.6832,0.0639376,1,2058.55
agriculture3.jpg,640x480,opencv_opt,0.554197,0.54315,0.5273,0.6478,0.0285205,0.876548,1804.41
automobile1.jpg,640x480,manual_opt,0.615573,0.62195,0.5122,0.7679,0.0537381,1,1624.5
automobile1.jpg,640x480,opencv_opt,0.63813,0.5716,0.5447,1.4712,0.222337,0.964652,1567.08
automobile2.jpeg,640x480,manual_opt,0.649473,0.6446,0.4259,0.7562,0.0605757,1,1539.71
automobile2.jpeg,640x480,opencv_opt,0.565383,0.53295,0.5123,0.8736,0.085339,1.14873,1768.71
automobile3.jpg,640x480,manual_opt,0.59695,0.57775,0.5296,0.7536,0.0519469,1,1675.18
automobile3.jpg,640x480,opencv_opt,0.58531,0.54065,0.5207,0.8312,0.0883742,1.01989,1708.5
detail1.jpg,640x480,manual_opt,0.671093,0.6715,0.5472,0.7801,0.0562586,1,1490.11
detail1.jpg,640x480,opencv_opt,0.540213,0.53645,0.5272,0.5673,0.010604,1.24227,1851.12
detail2.jpg,640x480,manual_opt,0.613953,0.59775,0.4873,0.7682,0.0670186,1,1628.79
detail2.jpg,640x480,opencv_opt,0.642373,0.55895,0.4943,1.2594,0.169075,0.955758,1556.73
detail3.jpg,640x480,manual_opt,0.653373,0.65005,0.5517,0.8038,0.0582627,1,1530.52
detail3.jpg,640x480,opencv_opt,0.553597,0.54065,0.5137,0.6551,0.0309421,1.18023,1806.37
