comparison,image,mean_abs_diff,max_diff
gpu_vs_opencv,agriculture1.pgm,1.132559,29
gpu_vs_opencv,agriculture2.pgm,1.897402,25
gpu_vs_opencv,agriculture3.pgm,1.403509,11
gpu_vs_opencv,automobile1.pgm,1.513184,17
gpu_vs_opencv,automobile2.pgm,1.170583,14
gpu_vs_opencv,automobile3.pgm,1.350758,20
gpu_vs_opencv,detail1.pgm,1.894824,24
gpu_vs_opencv,detail2.pgm,1.841956,27
gpu_vs_opencv,detail3.pgm,1.708600,13
gpu_vs_opencv_opt,agriculture1.pgm,1.132559,29
gpu_vs_opencv_opt,agriculture2.pgm,1.897402,25
gpu_vs_opencv_opt,agriculture3.pgm,1.403509,11
gpu_vs_opencv_opt,automobile1.pgm,1.513184,17
gpu_vs_opencv_opt,automobile2.pgm,1.170583,14
gpu_vs_opencv_opt,automobile3.pgm,1.350758,20
gpu_vs_opencv_opt,detail1.pgm,1.894824,24
gpu_vs_opencv_opt,detail2.pgm,1.841956,27
gpu_vs_opencv_opt,detail3.pgm,1.708600,13
gpu_vs_manual,agriculture1.pgm,1.081393,30
gpu_vs_manual,agriculture2.pgm,1.860384,26
gpu_vs_manual,agriculture3.pgm,1.365527,12
gpu_vs_manual,automobile1.pgm,1.476234,18
gpu_vs_manual,automobile2.pgm,1.134248,15
gpu_vs_manual,automobile3.pgm,1.322777,21
gpu_vs_manual,detail1.pgm,1.876566,23
gpu_vs_manual,detail2.pgm,1.809326,28
gpu_vs_manual,detail3.pgm,1.667243,14
