image,resolution,version,mean_ms,median_ms,min_ms,max_ms,std_ms,speedup,fps
agriculture1.jpg,640x480,manual,1.4764,1.4633,1.4577,1.5501,0.025089,1,677.322
agriculture1.jpg,640x480,opencv,2.01347,1.9915,1.8741,2.2741,0.071699,0.733263,496.655
agriculture1.jpg,640x480,manual_opt,0.43891,0.42505,0.4174,0.5494,0.0324313,1,2278.37
agriculture1.jpg,640x480,opencv_opt,0.560867,0.54265,0.5073,0.723,0.0449161,0.782557,1782.95
agriculture2.jpg,640x480,manual,1.55537,1.47425,1.4483,2.1167,0.161144,1,642.935
agriculture2.jpg,640x480,opencv,1.88462,1.8699,1.8101,2.0192,0.0588516,0.825295,530.611
agriculture2.jpg,640x480,manual_opt,0.516863,0.4993,0.4167,0.8811,0.0885524,1,1934.75
agriculture2.jpg,640x480,opencv_opt,0.53525,0.53005,0.5073,0.5943,0.0188446,0.965648,1868.29
agriculture3.jpg,640x480,manual,1.65097,1.6018,1.4641,2.4027,0.153266,1,605.706
agriculture3.jpg,640x480,opencv,1.9968,1.99945,1.909,2.0787,0.0380386,0.826805,500.8
agriculture3.jpg,640x480,manual_opt,0.48578,0.47185,0.4152,0.6832,0.0639376,1,2058.55
agriculture3.jpg,640x480,opencv_opt,0.554197,0.54315,0.5273,0.6478,0.0285205,0.876548,1804.41
automobile1.jpg,640x480,manual,1.69884,1.7016,1.4625,1.8585,0.071849,1,588.637
automobile1.jpg,640x480,opencv,2.04961,2.0254,1.8836,2.5646,0.117889,0.828861,487.898
automobile1.jpg,640x480,manual_opt,0.615573,0.62195,0.5122,0.7679,0.0537381,1,1624.5
automobile1.jpg,640x480,opencv_opt,0.63813,0.5716,0.5447,1.4712,0.222337,0.964652,1567.08
automobile2.jpeg,640x480,manual,1.6776,1.6843,1.5082,1.8995,0.0750738,1,596.09
automobile2.jpeg,640x480,opencv,2.09123,2.0909,1.9176,2.1704,0.047556,0.802207,478.187
automobile2.jpeg,640x480,manual_opt,0.649473,0.6446,0.4259,0.7562,0.0605757,1,1539.71
automobile2.jpeg,640x480,opencv_opt,0.565383,0.53295,0.5123,0.8736,0.085339,1.14873,1768.71
automobile3.jpg,640x480,manual,1.65819,1.67525,1.463,1.8143,0.0635349,1,603.068
automobile3.jpg,640x480,opencv,2.18193,2.083,1.9679,3.3028,0.265541,0.759963,458.31
automobile3.jpg,640x480,manual_opt,0.59695,0.57775,0.5296,0.7536,0.0519469,1,1675.18
automobile3.jpg,640x480,opencv_opt,0.58531,0.54065,0.5207,0.8312,0.0883742,1.01989,1708.5
detail1.jpg,640x480,manual,1.67111,1.6823,1.4926,1.9077,0.0781166,1,598.403
detail1.jpg,640x480,opencv,2.03349,2.0094,1.9336,2.2772,0.0826811,0.821796,491.765
detail1.jpg,640x480,manual_opt,0.671093,0.6715,0.5472,0.7801,0.0562586,1,1490.11
detail1.jpg,640x480,opencv_opt,0.540213,0.53645,0.5272,0.5673,0.010604,1.24227,1851.12
detail2.jpg,640x480,manual,1.62497,1.61135,1.4797,1.7123,0.0431554,1,615.395
detail2.jpg,640x480,opencv,1.87089,1.86045,1.7879,2.0211,0.061204,0.868558,534.506
detail2.jpg,640x480,manual_opt,0.613953,0.59775,0.4873,0.7682,0.0670186,1,1628.79
detail2.jpg,640x480,opencv_opt,0.642373,0.55895,0.4943,1.2594,0.169075,0.955758,1556.73
detail3.jpg,640x480,manual,1.58352,1.4915,1.4642,2.1667,0.180939,1,631.503
detail3.jpg,640x480,opencv,1.84645,1.83355,1.7781,2.0512,0.0578551,0.857606,541.581
detail3.jpg,640x480,manual_opt,0.653373,0.65005,0.5517,0.8038,0.0582627,1,1530.52
detail3.jpg,640x480,opencv_opt,0.553597,0.54065,0.5137,0.6551,0.0309421,1.18023,1806.37
