image,resolution,run_id,h2d_ms,kernel_ms,d2h_ms,total_ms
agriculture1.pgm,640x480,1,0.078112,0.071136,0.136384,0.285632
agriculture1.pgm,640x480,2,0.070688,0.061376,0.127904,0.259968
agriculture1.pgm,640x480,3,0.064608,0.06656,0.175968,0.307136
agriculture1.pgm,640x480,4,0.063232,0.060768,0.17776,0.30176
agriculture1.pgm,640x480,5,0.064864,0.067584,0.12416,0.256608
agriculture1.pgm,640x480,6,0.063456,0.065696,0.124544,0.253696
agriculture1.pgm,640x480,7,0.064128,0.065088,0.124096,0.253312
agriculture1.pgm,640x480,8,0.062912,0.065376,0.122368,0.250656
agriculture1.pgm,640x480,9,0.06448,0.066784,0.123584,0.254848
agriculture1.pgm,640x480,10,0.06368,0.06544,0.1232,0.25232
agriculture1.pgm,640x480,11,0.064832,0.065664,0.121056,0.251552
agriculture1.pgm,640x480,12,0.063712,0.067488,0.126432,0.257632
agriculture1.pgm,640x480,13,0.061888,0.069024,0.125024,0.255936
agriculture1.pgm,640x480,14,0.062528,0.06768,0.125632,0.25584
agriculture1.pgm,640x480,15,0.063744,0.06752,0.13152,0.262784
agriculture1.pgm,640x480,16,0.063872,0.06736,0.124256,0.255488
agriculture1.pgm,640x480,17,0.061472,0.070464,0.125152,0.257088
agriculture1.pgm,640x480,18,0.065472,0.071616,0.127104,0.264192
agriculture1.pgm,640x480,19,0.061792,0.075712,0.172928,0.310432
agriculture1.pgm,640x480,20,0.101088,0.067104,0.151424,0.319616
agriculture1.pgm,640x480,21,0.09504,0.067776,0.144224,0.30704
agriculture1.pgm,640x480,22,0.095744,0.066176,0.143488,0.305408
agriculture1.pgm,640x480,23,0.09664,0.065984,0.143488,0.306112
agriculture1.pgm,640x480,24,0.096896,0.065696,0.147104,0.309696
agriculture1.pgm,640x480,25,0.094112,0.066688,0.146368,0.307168
agriculture1.pgm,640x480,26,0.093728,0.066912,0.144192,0.304832
agriculture1.pgm,640x480,27,0.095072,0.066368,0.141856,0.303296
agriculture1.pgm,640x480,28,0.097856,0.065664,0.146656,0.310176
agriculture1.pgm,640x480,29,0.09728,0.065664,0.144736,0.30768
agriculture1.pgm,640x480,30,0.09408,0.067264,0.143456,0.3048
agriculture2.pgm,640x480,1,0.065792,0.061664,0.121792,0.249248
agriculture2.pgm,640x480,2,0.065504,0.065184,0.12304,0.253728
agriculture2.pgm,640x480,3,0.064576,0.0624,0.11904,0.246016
agriculture2.pgm,640x480,4,0.065088,0.063008,0.121152,0.249248
agriculture2.pgm,640x480,5,0.064096,0.063232,0.120896,0.248224
agriculture2.pgm,640x480,6,0.064032,0.0632,0.118816,0.246048
agriculture2.pgm,640x480,7,0.066272,0.064672,0.120096,0.25104
agriculture2.pgm,640x480,8,0.065248,0.061856,0.118848,0.245952
agriculture2.pgm,640x480,9,0.064512,0.061888,0.120032,0.246432
