time,Signal
0,3.645546451453123001
0.002,3.02923955983371
0.004,2.64782839950345
0.006,2.68404466543722
0.008,3.02207100755954
0.01,3.48994520701743
0.012,2.80528588701892
0.014,3.1536279373143
0.016,2.98056653855417
0.018,3.38947504774386
0.02,2.73357389330005
0.022,3.0760838734058
0.024,3.2380965172656
0.026,3.40854142535982
0.028,3.54763989789755
0.03,3.11617150658615
0.032,2.64892862696879
0.034,2.87972628670882
0.036,2.78995084793993
0.038,3.8195683256958
0.04,2.93575349338139
0.042,3.35085694935587
0.044,3.07470502299519
0.046,3.40500701971619
0.048,2.91495893960129
0.05,2.72971918947554
0.052,2.72966947243169
0.054,3.3088188414242
0.056,3.11512243776123
0.058,3.11548900151105
0.06,3.60606375213767
0.062,3.27370712348797
0.064,3.25153152632193
0.066,3.67444948041165
0.068,2.9627465034258
0.07,NaN
0.072,3.46649019414451
0.074,NaN
0.076,3.29252039869804
0.078,2.88398544808824
0.08,2.89526614294771
0.082,3.2770216854277
0.084,3.46813656996227
0.086,4.03300247232048
0.088,3.06317612919766
0.09,3.32532422051294
0.092,3.25025136851302
0.094,2.70096065557487
0.096,3.1550384231189
0.098,2.75417811071707
0.1,3.550540523524
0.102,3.03785680122491
0.104,3.34012514955488
0.106,3.15256165934544
0.108,NaN
0.11,3.14744435398067
0.112,3.48033057087902
0.114,3.56094014127646
0.116,3.85847920022341
0.118,3.29244875112058
0.12,2.71494331706046
0.122,3.11032835362493
0.124,3.77432920464125
0.126,3.0520409514416
0.128,3.66770088895663
0.13,3.42234727176961
0.132,3.8218491915134
0.134,2.80826820279626
0.136,3.34291671373419
0.138,3.04555035216854
0.14,4.28597391702823
0.142,3.66679423678775
0.144,3.83856663031875
0.146,3.11305669302247
0.148,3.29555095222057
0.15,3.36000864044656
0.152,3.7768795239579
0.154,NaN
0.156,3.66898587693
0.158,2.84854689277208
0.16,3.36349340087231
0.162,3.22811719391736
0.164,3.00760878959055
0.166,3.63863889058304
0.168,3.57635002772423
0.17,3.50729466186528
0.172,3.10263063912961
0.174,3.84645232848142
0.176,3.61871625061413
0.178,3.42938742252369
0.18,3.53140585780661
0.182,3.45135872477815
0.184,3.01029869004721
0.186,3.45505862787773
0.188,3.2967218219001
0.19,3.25773394119559
0.192,NaN
0.194,3.40211487702192
0.196,2.96671313874894
0.198,3.86208019737189
0.2,3.7341224393587
0.202,3.57737448530545
0.204,3.57821520703676
0.206,NaN
0.208,3.90473475049403
0.21,3.56438259811059
0.212,3.39519219940062
0.214,4.02015498463505
0.216,3.55248041077716
0.218,3.44835982908975
0.22,3.54208347663293
0.222,3.38095677755061
0.224,3.30440520250684
0.226,4.40333646121722
0.228,4.14726238193659
0.23,3.7479337638526
0.232,3.28358125395887
0.234,3.40610320452312
0.236,3.6177934105778
0.238,3.91317154714198
0.24,3.28112141255753
0.242,2.98672140327732
0.244,3.25589384871198
0.246,3.79560032365387
0.248,3.8178596184489
0.25,3.84084612842944
0.252,3.671127851166
0.254,3.77017297588393
0.256,3.57705527519558
0.258,3.98332440758461
0.26,3.3210080159723
0.262,3.87080522522473
0.264,3.48444499253901
0.266,3.64333449992394
0.268,3.91435956752535
0.27,4.06495682960033
0.272,3.42262406717523
0.274,4.14078017389802
0.276,3.96527312496958
0.278,3.75149875314575
0.28,3.71790079451371
0.282,3.71577436519194
0.284,3.6946933659085
0.286,3.79708887199762
0.288,3.81009185910864
0.29,4.04703307798458
0.292,4.26179654245405
0.294,3.94824685617108
0.296,3.7497070935853
0.298,4.00460624007093
0.3,3.87642470601486
0.302,3.51691290318348
0.304,4.11497548886765
0.306,3.92667231237687
0.308,3.87942993042061
0.31,3.99775386441607
0.312,3.92588307304508
0.314,3.56927524454399
0.316,3.80725795429526
0.318,3.81635951936142
0.32,3.70476741682284
0.322,4.37317498915978
0.324,3.60997624306127
0.326,3.73167961839463
0.328,3.66732970128172
0.33,3.53275204139276
0.332,3.83140619948153
0.334,NaN
0.336,4.35615694413016
0.338,3.82642238462228
0.34,3.58583763301653
0.342,4.39008782740646
0.344,4.28338039492952
0.346,3.8479916610747
0.348,3.4689114646683
0.35,3.79122754639685
0.352,3.88166673461317
0.354,4.01507921719167
0.356,3.85769578838653
0.358,4.07283394686248
0.36,4.06111438139368
0.362,3.57205735232598
0.364,3.6665637198604
0.366,3.73228711368299
0.368,NaN
0.37,3.86570772986498
